ID,Nome,Endereço,Telefone,Website,Categoria,Avaliação,Total_Avaliações,Horário,Latitude,Longitude,Google_Maps_URL,Fonte,Data_Coleta,Termo_Busca
1,"Padaria Bella Paulista","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Padaria+Bella+Paulista/data=!4m7!3m6!1s0x94ce5832b9e29f3d:0xd82fca9808fe2dc4!8m2!3d-23.5561273!4d-46.6601218!16s%2Fg%2F11f15glkqm!19sChIJPZ_iuTJYzpQRxC3-CJjKL9g?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
2,"Padaria Galeria dos Pães","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Padaria+Galeria+dos+P%C3%A3es/data=!4m7!3m6!1s0x94ce59d610fb16c9:0xbe346c873dea06d9!8m2!3d-23.5660268!4d-46.669853!16s%2Fg%2F1tjrr2l9!19sChIJyRb7ENZZzpQR2QbqPYdsNL4?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
3,"Cepam: Café da Manhã, Confeitaria, Lanches, Pizzas, Feijoada, Vila Prudente SP","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Cepam:+Caf%C3%A9+da+Manh%C3%A3,+Confeitaria,+Lanches,+Pizzas,+Feijoada,+Vila+Prudente+SP/data=!4m7!3m6!1s0x94ce5c6eb9cb3879:0x5061c64991698a1c!8m2!3d-23.5922312!4d-46.579376!16s%2Fg%2F1vlzchl4!19sChIJeTjLuW5czpQRHIppkUnGYVA?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
4,"Padaria Santa Tereza","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Padaria+Santa+Tereza/data=!4m7!3m6!1s0x94ce7b4be418770d:0x5d64f0678926fbdc!8m2!3d-23.5523907!4d-46.6349751!16s%2Fg%2F1ptz2jsw_!19sChIJDXcY5Et7zpQR3PsmiWfwZF0?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
5,"Monte Rei Casa de Pães - Saúde","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Monte+Rei+Casa+de+P%C3%A3es+-+Sa%C3%BAde/data=!4m7!3m6!1s0x94ce5a5190df0dd7:0x29e9a8f4e193f230!8m2!3d-23.6177562!4d-46.6374671!16s%2Fg%2F1tdqjl_f!19sChIJ1w3fkFFazpQRMPKT4fSo6Sk?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
6,"Merci Padaria","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Merci+Padaria/data=!4m7!3m6!1s0x94cef876e6f933f7:0xb9437f6cb6cc0f09!8m2!3d-23.5280197!4d-46.6965538!16s%2Fg%2F11b6qb1wfm!19sChIJ9zP55nb4zpQRCQ_Mtmx_Q7k?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
7,"Villa Grano Pães","São Paulo, SP","","","Padaria","","","","","","https://www.google.com/maps/place/Villa+Grano+P%C3%A3es/data=!4m7!3m6!1s0x94ce5a2fdd5fd739:0x26c1fc33603e92c1!8m2!3d-23.597522!4d-46.640335!16s%2Fg%2F1q5bp44_r!19sChIJOddf3S9azpQRwZI-YDP8wSY?authuser=0&hl=pt-BR&rclk=1","google-maps-melhorado","2025-09-05T14:21:59.597Z","padarias São Paulo"
